source_kind	rawcode	name	candidate_type	confidence	suggested_mvp_role	attackable_by_wolves	blocks_ground	upgrade_chain	requires	goldcost	lumbercost	hp	armor	attack_range	cooldown	dmgplus	dice	sides	attack_type	targets	model	doo_count	doo_category	evidence	notes
unit	h003	울타리	fence_wall	high	fence_tier_1	yes	yes	h003->h00L		5		200	1								Doodads\Village\Props\Village_Fenceshort\Village_Fenceshort.mdl			name/model/upgrades from unit_rawcode_crosscheck	가장 직접적인 울타리 후보. MVP 기본 fence의 1차 기준.
unit	h00L	청동 울타리	fence_wall	high	fence_tier_2	yes	yes	h003->h00L->h00K		70		300	2								Doodads\Dungeon\Structures\PorticulisWall0_\PorticulisWall0_0.mdl			name/model/upgrades from unit_rawcode_crosscheck	청동 울타리. HP/방어 상승형 fence 업그레이드 후보.
unit	h00K	돌 벽	fence_wall	high	wall_tier_3	yes	yes	h00L->h00K->h00Y	h00H	100	40	450	5								Doodads\Cityscape\Structures\CityLowWall90\CityLowWall90.mdl			name/model/upgrades from unit_rawcode_crosscheck	명시적 벽. 늑대 blocker 후보로 적합.
unit	h00Y	마법의 결계	fence_wall	high	magic_barrier_tier_4	yes	yes	h00K->h00Y->h014	h00C	150	80	650	8								Doodads\Terrain\DalaranMagicalPenWall\DalaranMagicalPenWall.mdl			name/model/upgrades from unit_rawcode_crosscheck	마법 벽/결계 라인. 후반 fence 업그레이드 후보.
unit	h014	악의 결계	fence_wall	medium	barrier_tier_5	yes	yes	h00Y->h014->h01D	h015	150	250	850	11								Doodads\Icecrown\Props\IceTorch\IceTorch.mdl			upgrade chain from h00Y	모델은 벽보다 장식물에 가깝지만 업그레이드 체인상 결계 후보.
unit	h01D	봉인된 오벨리스크	fence_wall	medium	barrier_tier_6	yes	yes	h014->h01D->h01G	h01H	250	300	1100	15								Doodads\Northrend\Props\NorthrendObilisk\NorthrendObilisk.mdl			upgrade chain from h014	오벨리스크형 결계. 단일 타일 blocker보다 고급 방어물 느낌.
unit	h01G	플라즈마 벽	fence_wall	high	plasma_wall_tier_7	yes	yes	h01D->h01G	h01H	350	400	1600	20								Doodads\Outland\Props\Grate\Grate0.mdl			name/model/upgrades from unit_rawcode_crosscheck	후반 최상위 벽 후보. MVP에서는 별도 최종 fence skin/HP 기준.
unit	h006	대문	gate	high	gate_closed	yes	yes		h01H,h003,h006,h01I	50		300	7								Doodads\LordaeronSummer\Terrain\Gate\Gate.mdl			name/model from unit_rawcode_crosscheck; n00Y builds list references h006	대문 후보. `h00G`와 짝을 이루는 열림/비행 pathing 변형 가능성.
unit	h00G	대문	gate	medium	gate_variant	yes	conditional			50		300	7								Doodads\LordaeronSummer\Terrain\Gate\Gate.mdl			name/model/movetp=fly from unit_rawcode_crosscheck	`h006`과 같은 이름/모델이나 movetp가 fly. 열린 문/특수 pathing 변형 후보.
unit	h00D	스카우트 타워	defense_tower	high	tower_root	yes	yes	h00D->h007/h016		125		275	5	650	1.05	21	1	3	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	가드/아케인 타워 공통 시작점.
unit	h007	소형 가드 타워	defense_tower	high	guard_tower_tier_1	yes	yes	h007->h00Q	h00A	250	100	300	6	750	0.9	34	1	5	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	가드 타워 라인 1단계.
unit	h00Q	중형 가드 타워	defense_tower	high	guard_tower_tier_2	yes	yes	h007->h00Q->h00Z	h00H	250	150	400	7	850	0.85	55	1	8	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	가드 타워 라인 2단계.
unit	h00Z	대형 가드 타워	defense_tower	high	guard_tower_tier_3	yes	yes	h00Q->h00Z->h00R	h00C	350	250	550	8	950	0.8	62	1	11	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	가드 타워 라인 3단계.
unit	h00R	초대형 가드 타워	defense_tower	high	guard_tower_tier_4	yes	yes	h00Z->h00R->h01J	h015	750	600	750	9	1050	0.9	70	1	16	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	가드 타워 라인 4단계.
unit	h01J	칠흑의 가드 타워	defense_tower	high	guard_tower_tier_5	yes	yes	h00R->h01J	h01H	1000	1200	900	12	1150	0.9	100	1	20	pierce	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/attack stats from unit_rawcode_crosscheck	가드 타워 최상위 후보.
unit	h016	소형 아케인 타워	defense_tower	high	arcane_tower_tier_1	yes	yes	h016->h008	h00H	400	350	400	7	900	0.7	35	1	11	chaos	structure,air,ward,debris,ground	buildings\human\HumanTower\HumanTower			name/upgrades/attack stats from unit_rawcode_crosscheck	아케인 타워 라인 1단계.
